Unnamed: 0,label,tweet
75,0,babyanimalp babi monkey bathtim awwww soooo ador
76,1,baylaagottabodi aint shit damn skippi lol
77,1,beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b
78,1,beenbasedb kudabrazyy ring mvps bitch lol
79,1,beenflynsolo ppl talk bad ghettohood kid grow nigga funnnnnnn
80,1,bestproadvic fact tattoostattoo hes pussi tattoo nippl
81,1,rt nelayden bitch want act like nigga bad shit aint cuteeee nigga act like bitch
82,1,get worship bitch woof woof
83,1,blackchiquitita wow rt thatmanpalm im lost buttcheek pierc yeah shes hoe
84,1,blacknerdjad ok sis shed rather broke bitch shrug shell tell work
85,1,whalelookyher queer gaywad
87,1,brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol
88,1,brosconfess bitch ungrat fr lulwhor
89,1,cashandboobi kidnap yo bitch
90,1,whitethunduh alsarabsss hes beaner smh tell hes mexican
91,1,ccobey aydanmccoy happi birthday nig thank yo
92,1,chlldhoodruin ur teacher tell u u homework bitch need go
93,1,nigga eat hoe lol hell yea lol john paul nigga said john paul
94,1,canifuckornah would yall lil ugli bald head bitch stop make makeup amp weav
95,1,leaf better win damn game go riot shit earlychristma better start loot nig
96,1,causewereguy go back school suck dick hoe attend
97,1,causewereguy way fuck yo bitch year old
98,1,celeynichol whitethunduh come never bring food dont car retard
99,1,chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like propl
100,1,chandlerparson bout cowboy shutup pussi
101,1,clicquotsuav lmaooooooooooo nigga krillznuhcar ltbitch want like depress shitfoh
102,1,coleyce lilaerii girl know spit g shit amp go lbvsbitch plz
103,1,coleyce let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick
104,1,comedypost harlem shake excus go full retard second
105,1,comedytruth amen miley dont need act like hoe bc shes emot damag foh
106,1,corybandz one loyal femal wayyyyy better hoe idc
107,1,crhedri pussi lick pussi meow meow
108,1,dbabholloway check man cowboysn even faggot ny fan stand
109,1,dgotbrick happen vixen ent bitch got ran threw side like foothil bitch
110,1,daedavidavi whitethunduh im bitch okay nude pat wow
111,1,devilgrimz vigxrart your fuck gay blacklist hoe hold tehgodclan anyway
112,1,diamondloudkush fuck wrong bitch nobodi know
113,1,yall shut upp make bitch
114,1,dionairish hate im pregnant type bitch
115,1,doyouq got bitch dm dont ever readem top
116,0,domworldpeac basebal season win yanke love start
117,1,dommoneek littl stupid bitch dont fuck yoooooouuuu
118,1,dreadheadari realli ask dead ass serious tho could say bitch wheet lol
119,0,dunderbail im earli bird im night owl im wise worm
120,0,edgarpixar overdos heavi drug doesnt sound bad tonight pussi shit everi day
121,0,pit bull photograph love fairi tale creatur fairi tale creatur
122,1,ferociousghost aw fag dont tweet aw lol
123,0,long laker trash could careless that real cc benbal hahaha
124,1,frosstyy didnt say anyth tho kiss faggot
125,0,funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut yup
126,1,could go fat ass bitch lap
127,1,gedmell miss call yo po bitch twitter finna screamn freemoneymell
128,1,gtmal ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao
129,1,amo los pie fuck yeah
130,1,girlthatsvont hoe think meat wont slap ass ainna bruh
131,1,girlthatsvont yall bitch wit edg talk
132,1,girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit
133,1,girllssu wanna sex mom fuck right pussi came damn got hack like fuck
134,1,kiss u eye open watch bitchlmfao
135,1,goofstroop woulda coulda shoulda ass hoe
136,1,gottiltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll
137,1,hbmostdop pipinho use send bitch
138,1,hbmostdop ugli bitch like im wcw duh bitch aint nobodi
139,1,halotgmg nigga know hacki sack hoe nah throw look pass lmao
141,1,heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
142,0,hermosaalma isnt ghettoit smart im idc
143,1,hiimjorib would wife hoe cuz wouldnt care cheat forc relationship first place
144,1,hornyfact singl isnt excus hoe theonemissluu
145,1,white boy power bitch black power bitch
146,1,let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill
147,1,iscoutgirl verballyabrupt bitch u around world back
148,1,itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set anelylov
149,1,itsyesi oomf soooo cute probabl hoe lot
150,1,everi cartoon alway save hoe lmao lmao damn captain saveaho
151,0,jreebo want get nose bad boi scalli chav sockfetish stink hot sox leg
152,1,jamesynba wish bitch like brother keezi ooooow bet
153,1,jasminepor dress cat halloween basic pussi
154,1,jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get
155,1,joebudden stop scare choke sex u bitch ass nigga like say guy hit women bed foh
156,1,whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig
157,1,kazatta oh man molli ho fuck ya seed fix
158,1,kelsiebelsi your man refer everi girl bitch
159,1,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga
160,0,keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash
161,1,kingcuh io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha
162,1,vondreaam naw old tape new cover upcom mixtap kingofthehil yeah im wait hoe mayn
163,1,kingteej ol dirti foot ass bitch funni
164,1,whitethunduh that get yellow flag amaz hell yeah niggi
165,1,kissmysmile dont got time bitch actin iffi
166,0,knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut
167,1,kyranadiya hoe aint loyal aint smfh amp wonder nobodi decent want
168,1,lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe
169,1,lodycash dri pussi bitch alway blame
170,1,lunarap shut yo bitch ass
171,1,laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back
172,1,latrobemark love hoe money wat wrong nigga
173,1,lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol
174,1,lilfridayho easi cum easi hoe that fact
175,1,lifeasbro charli sheen real major fuck respect charli sheen
176,1,lightskingawdd wish bae got hoe tho
177,1,fuck twerk bitch cook
178,1,linniekravitz wesgodlaflar bitch wtf
179,1,lipethegreat lipethegreat shut zoe fight zoe im good man good maam move along
180,1,lolaaisdop lmao fuck snake bitch em
181,1,loveableaizah big booti hoe everywher sheesh damn
182,0,mlbnetwork stay tune mlbnetwork updat report yanke week bum
183,0,mrad play soccer cheat girl wear khaki colour cargo haircut yes
184,1,madflyentist oregon choke everi year get field trash ass program rft
185,1,mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo
186,1,markroundtreejr lmfaoooo hate black peopl there black peopl nigger
187,1,gabrielastarr could u bitch potent
188,0,piss lad past would lick dirti sole slept
189,0,love frat boy w soft long sole
190,0,sexi lad hot sole arch
191,1,megamindnick whitethunduh nah fam gotta cheat hoe depend femal feel
192,0,meshanoja vontethekidd got hick lol
193,1,migsmichelen new twitter confus shit go back south america bitch
194,1,toto mean ass vaginai think pussi caus toto santi like nasti pussi
195,1,mikelahenri actual choos ugli bitch ass must fat
196,1,mileycyrus bitch couldnt kill vibe ya tri dis love miley
197,1,montrel im tire bitch say look mean nigga big af wear tight shirt grim everybodi
198,0,motherjon bird grandkid may never see thank climat chang climat
199,1,mvckfadden stay beauti bitch
200,1,nickiminaj wutkinda r purpl ceeeleeeman gurl jus playin stupid hoe track still shit sum gurl
201,1,nastycopp money get taller bitch get blurri
202,1,newsomejad aint never seen bitch obsess im obsess mine
203,1,kobe stay talk trash let forget meant one smh
204,1,nochillpaz least im nigger lmfao
205,1,nofakingg peopl alway ask im mix bad asian bitch lol
206,1,whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo
207,0,osayitaintso foster home imaginari whoa chill show everyth tf
208,1,officialreplay lowkey tire tire quiet go sleep hoe
209,1,prayingforhead stop bring weird nigger mention
210,1,prettybossbrat dont love hoe
211,1,patrickquelo yo girl cant homeboy ol weak bitch ass nigga
212,1,think worst advic gave dont pussi speed lol
213,1,poemsporn quot tweet favorit animalpussi
214,1,poeticsuccess hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper
215,1,poffalici andrewbry poff doubl vision beer poff doubl pussi smh
216,1,poobi bitch twerk comput ya ya damn
217,1,prodsjewel peacepunkprinc princ art nobodi takin bitch
218,0,welfaregovern aid claim white peopl yall black slander trash
219,1,bitch dont care play role
220,1,queenkaaat took find hide lime tree iemonaid dis bitch da wrong tree bro
221,1,rtnba drake new shoe releas nikejordan yes there glitter shoe dude fag
222,0,rachiesoul dizzleoffici inna di ghetto alon lmaoo
223,0,ramboutit ramboutit hoe teach us austini teach u get curv that know
224,1,reachtheeclimax bitch cant cook know suck dick one
225,1,renegademo fat hoe get chose lol
226,1,riahsm hoesaintloy well theyr hoesno one expect loyal
227,1,rishaawilliam treshonscroog nevertrustt ol bitch ass
228,1,rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo
229,1,sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck
230,1,samjlayman holi shit freddi highmor charli chocol factori roll floor laugh
231,1,samirahus dont want sex gf feel like im use anonym whata faggot
232,1,sexualgxf one follow somebodi bitch dont
233,1,shaajenkin ya bitch alway bitch clear care annoy bitch
234,1,shantaughth catfish hoe thinkin slick nigga catch
235,1,shewenttojordan cant worri bitch aint worri bout real
236,1,showarr side hoe insecur nigga cant handl real one
237,1,shunstok lmao bitch come scoot tent like fuck shit
238,1,shunstok cousin said share hoe brother said share care love brother
239,1,slimgirlprobz im hungri ionn wanna spend money hoe problem
240,1,smeegbabi dese hoe lyin us nigga
241,1,snakecharmsdump oh yeah fuck bitch
242,0,sportscent eli man threw nfllead intercept season lmao trash
243,0,sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team hes bitch
244,1,stellatex guess also zero time mansplain adio stfu pussi
245,0,stephenwildboy chill sexi scalli lad
246,1,strap aint share bitch mine mine
247,1,sukmysweet money impress simpl broke bitch
248,1,sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht
250,0,teejonez kingcuh tuku ho idk blah blah blah
251,0,teejonez kingcuh im mad cuh hahaha suur tuku ho ita
252,1,tayknosbest hoe crazi
253,1,taylorrbabe aint ever gonna slice bitch kevin hart
254,1,thatniggatroy oomf fuckin fine tho dam dont bitch
255,1,thegamerkingkev wonder girl gave head boy drink magaluf twitter probli send nude fag
256,1,thenewsat newsatquest yeah bitch yeah bitch call mayb b steveo c later jess pinkman machinegunkelli
257,1,thenymphotweet hicki thigh right pussi gtgtgt right
258,1,theonemissluu would still love im longer young beauti ugli monkey ass
259,1,jetsandaswish gook yall come frontbitch aint come
260,1,jetsandaswish faggot bitch
261,1,therealistsam yea im ipad dont work friday let ball faggot tropicalblanketi work
262,0,scalli lad would get
263,1,theomaxximus gerryshalloweenparti halloween yesterday stupid nigger
264,1,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead
265,1,love eat pussi lol never get full eat shit forev lol ever
266,1,tmaccgfg tmaccgfg slush nasti anyway hoe tast like
267,1,tmaccgfg slush nasti anyway
268,1,tmaccgfg bobbi bitchbi get live fuck hell yea play hoe workout
269,1,trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner
270,1,tweetgamelazi ride bitch handl bar
271,1,tyjoncuffe aint hoe get traphoussseeee
272,0,uberfact sad tv charact death still bitter stark man
273,1,unholyjack harbor bitch parti bus hoe lol
274,1,pussi love
275,1,veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey bitchi promo
276,1,vineforthebyrd way fuck bitch lmfao kittycopt
277,0,wbur smuggler explain help fighter along jihadi highway
278,1,wbeezi quathegreat aww avi look cute togeth gotta get ike avi bitch
279,1,wbeezi rundrc simpl dont hoedont worri expos fight mewhi
280,1,wannabekany whys bitch boost size isnt exact healthi tho
281,1,withaprettyfac bet bitch kim bye
283,1,xxpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco
284,1,xojennygirl im make marack girlfriend marackaf aye b pullin hoe like taught
285,1,xoxoangie bruno fag boy love
286,1,yehitsvon must sike naw alway beef
287,0,yanke yanke look ralli bottom rallycap
288,1,youngricooo dont take advantag nice hoe everyjuan
289,1,youngricooo happi birthday bitch nigga thank pal
290,1,youngricooo sad know hoe wont fuck bc aint got stack wait till friday
291,1,yungmigo cinco shit harder fucc niggaye fucc wit rich homi cuz dat ya homeboy fucc nicca
292,1,ewww said last sundaya last sunday read
293,1,badab punch real nigga face caus pussi nigga gonna punch right back strong mush shake
294,1,beedontcar pussi still fresh lt someth stank girl say
295,1,geewillik ass slap one greatest thing haha slap girl ass got mad aint get pussi week
296,1,tommycollin wearerichnow buffalobil yeah texan much better fuck retard see your mad
297,1,malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like blackampmild
298,1,sugga there lane bitch need stay left n get right fuck outta face
299,1,sneakyb hate boy deni bitch smh
300,1,taradis ya nig still say yall dont eat butt straight face
301,1,yourewelcom im boss ass bitch need sit corner
302,1,iwantfranni hes hoe cant
304,1,paul thinkin bout gettin rental da weekend shit bitch betta stay da street
305,1,rapdream bitch hold nigga get lock nigga go colleg militari differ stori
306,1,simplycaitlin friend hate ratchet hoe
307,1,adriwadrri love fuck nigga hoe
308,1,hot meat sexi fuck scalli lad would love meet trainer
309,1,sniff perv scalli lad fuck yeah
310,1,bitch love sosa
311,1,alexissixela legit watch second wtf prob caus retard smh
312,1,allisonnamaya name cat idea mr pussi
313,1,woof woof sexi thug boy scalli
314,1,ambitiousbre u see damn phone ring marri bitch make demand havent call
315,1,analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe
316,1,angelenagoley sex posit u call fuck soul outta bitch
317,1,ashlingwild itsnotadam bore suppos cute faggot sometim
318,0,ayyeecee one man trash anoth man treasur
319,1,babineaux dont got type bad bitch thing like iongotnotyp
320,1,bigbootybishopp whitethunduh lassen cc coach want feel youll get nig doubt
321,1,bleedingtrap god teeth gold chain white bitch cocain
322,1,cheetahbluntz hoe shhhhh
323,1,chieflottaho dc call roller chiraq call thot across america known hoe
324,1,im gonna miss bitch bus driverno wont dont lie
325,1,hate bitch tri put friendzon bitch im tryin score put endzon soul
326,0,complexuk ashley young tri deni bird land mouth gt hahaha
327,1,datfullerkid trevaughnlg yall gimp aint tht bitch huh lol
328,0,deepthroatmik boyssouth take ride woof woof
329,1,demieggleton oh god love victoria mitchel bitch love
330,1,djsliim long distanc shit wack knew bitch cheat uh oh
331,1,fiirt hes right bitch smh
332,1,ban dat pussi life amp gotta pay millon dollar fine
333,1,fuckcamoclark rose red violet blue nigger black know that true
334,0,sit window sill window open bird tri fli smack protecttheanim peta
335,1,glowstruck nigga gon nigga nigga sound fuckin retard
336,0,greggutfeld video entir media like mock crybabi
337,1,gurlimangi itskiaraaaa westyourmajesti im even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup
338,1,haitiangold tim tebow got cut everi team nfl alreadi got hoe starkvill smh
339,1,hazelebabi karma bitch damn godprotectshisangel sip tea
340,1,hornyjhb fuckin hot gym pussi fuck yeah
341,0,hxhassan jihadi patron hajjaj alajmi arrest kuwait airport
342,1,iampickuplin call fireman caus turn hoe
343,1,icrawley could never bbi lil dick thts got abort last bitch oh god
344,1,idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch
345,1,ilgdaili smoke weed public fuck cop man wanna dont run come retard
346,0,itrapwatermelon tweeti bird tho
347,1,irlfatti pussi sweet like watermelon thotermelon
348,0,itscoleharmon twitter rapper dm trash link
349,1,jsadass loud bitch annoy
350,1,jacaxeltlu eventu everi bitch turn hoe truuu
351,1,jaimescudi tonybthrz jaimescudi swear oomf tri talk tomorrow barackobama pussi
352,1,jamajam bitch pretend tf crazi aint never lie
353,1,jasmyncynique whitethunduh k bye hoe um bye
354,1,jayswaggkillah jacki retard blondeproblem least make grill chees
355,1,ima keep give pussi ass nigga ah reason hate
356,0,jethromass photo sole heaven
357,1,jgabsss stacey dash baddest bitch evaaaa
358,1,juicyyyjayyyi side bitch sunday
359,1,fact baldhead bitch made shit lmao
360,1,kayreneee fuck wit us tweakin hoe shmurda
361,0,kazooook actin like day wesgodlaflar
362,1,kikistfu ill break lil bitch neck wont even feel sorri savag
363,1,leikant fuck hot scalli sneakersex sockfetish sniff trainersex love kinki scalli
364,1,likemicah yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo
365,1,lildurk turn yo bitch eaterrrrrrrrr
366,1,lildurk dont trust dese hoe nikki told stay fan screen shot asap finna come chiraq shoot sumn
367,1,marackaf aye yall ima tryout bowl team tryout pass tho there two retard
368,1,u got u want bitch enjoy crazi parti would love attend
369,0,metroadlib color contact eye blinder mine caus cant see lmao
370,1,michellewestt fact poonsoak dude hoe say dont got
371,1,midywidey im rea start smack bitch period bluffin best
372,1,molssyo life bitch die that get high caus neva know your gonna go sister perfect
373,1,molssyo one us drug your still wrong currieburri hahahahahahah im bitch sometim
374,1,morgandayle im feel pretti fuckin ghetto smh
375,0,dejaaleeann swear im man easili easili behind austin nip
376,1,obeyjrock true ride die bitch fuck hahahahah
377,0,oldpicsarch hgwell charli chaplin histori photographi
378,1,ortizjaylen see bruno bitch ass twitter wtf bruno see drake voic
379,1,ozziegarza whitethunduh im cool faggot chill tf cool nigga
380,1,ozziegarza whitethunduh im sure bitch frfr tf
381,1,poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet
382,1,queendulaaa got coupl bitch say know let money talk im like wwyd
383,1,realfort grudg weirdosand bitch
384,0,rhythmixx told mariam cigarett birthday also call trash rn
385,0,riananewman browni tonight kind
386,1,text back dont give fuck ill text anoth bitch damn someon hurt lol
387,1,ronaldiongi ummmmmm okay got hoe left right yah thang
388,1,royalswagg use ymxb find slope ass
389,0,rugbysocklad fit lad nice gear scalli lad n trainer would get
390,1,rugbysocklad hell yeah bro fuck yeah sexi scalli lad hot gear
391,1,rugbysocklad help mate love scalli play fuck yeah
392,1,rugbysocklad lad lad fuck yeah love scalli lad action hot trainer
393,1,savagetwoton next year bitch gonna like gotta promis wont expos
394,1,scallynikelad hot rt opcinjen lick bitch fuck yeah eat trainer u dirti fucker
395,1,sierrabernia yall think celebr pussi differ local yeah meghan good
396,0,sleepyyongguk saw ajumma walk begin say wow trash cant even listen lmaoo
397,1,sniffsockslad need sox fuck yeah love kinki scalli lad w rank sox sneak
398,1,dont ever expos femal like that childish bitch nigga shiiii
399,1,socass socass yasss trys new thing bestfriend bitch love
400,0,socass dude rememb wop video omg find
401,1,soxandjox thick raw fuck damn man pussi get workout
402,0,soxdawg rawr rt skinrubberboi sexi french scalli love frenchscal sexi scalli woof woof
403,1,splurgb nothin life free bitch need write ya
404,1,stephencdo currieburri one bitch want burrito u catch potosino huh haha
405,1,talibanshawtyy nigga whole hoe cuz couldnt said
406,1,theaveragerock hardcor way eat mac chees boil water snort chees powder drink boil water fuck bitch
407,1,thebravebird yourenotmytyp fade perpetu fresher that real ass bitch rite
408,1,thejudyann annoy bitch love judyann pretti
409,1,thotmouth lmao bitch got huggi
411,1,trestiff hi bitch bitch bye bitch
412,1,trutherbot look like bitch elcapacitor
413,1,whoiscoreyk chase money hoe
414,1,whooligan cant stand dont know want ass nigga bitch
415,1,wiganzlad markycrumb gmailshort im way love chavhot sexi scalli fucker
416,1,witmyrudeass newli gay bitch dont kno shit work
417,1,witmyrudeass bitch dont want real job becom stripper lol lol
418,1,awww meat meat feelinsi ainn n feel bitch
419,1,want snake bite industri piercin amp tattoodem hoe accessori dea
420,0,worldtravei babi albino
421,1,worldwarze hoe aint loyal
422,1,xoxoclauudia yassssss order chines bitch ate taco fat fuck
423,1,made bitch lunch elizabethbatman bitch love lunch
424,1,brainer soon bitch get rich polit power view chang polit whore
425,1,pussi day keep devil away doperthanyola
426,1,aint bitch mean
427,1,bitch want babi dont want children
428,1,bitch must lost
429,1,babi like left side bitch cant cuz street side twitter said aint real
430,0,bae sound like ghetto word use someth els
431,1,batter wee cunt jewi cos fuck ex emma isnt batter girl ive nailed move onstop pussi n urself
432,1,bleed hoe alexa
433,1,boolin bando wit bitch
434,0,browni browni love movi
435,1,need bad bitch that hotter might realist shit partynextdoor ever said that feelin everyday
436,1,way punch bitch
437,1,caesar home rt naewoodst much bitch look like let start ape
438,0,chines maverick communic comrad u know give imperialist yank birdi
439,1,dad say hi snapchat dad duce bitch
440,1,believ hoe fact loyal disagre believ fact loyalest bunchthes hoe
441,1,dont know ugli bitch dont know broke niggaskeving
442,1,dont make make fall live nigga like meee bird favorit song weeknd
443,1,dont worri nigga see worri nigga dont see dat da nigga fuckin yo bitch
444,1,dont ever give pussi away keep tight alright
445,1,drop stack caus bitch im song call dope download mixtap
446,1,dumb bitch dumb thing
447,1,eat pussi like real nigga hungri
448,1,eff let go crippl
449,1,everyth look better bitch next
450,1,facto shaunasayomi care hoe ass look like
451,1,everi bad bitch nigga tire fuck
452,1,foreign chick lie man bitch beauti
453,1,fresh nigga kno need clean bitch kno im work cuz wanna see team rich
454,1,fuck make rule suck dragon ball bitch call goku
455,0,generat ascii box nodej see abil bring flappybird node via ascii tube bird
456,1,get shit bitch fine bear
457,1,get ass back detroit ya fuckin wigger
458,1,girl date okay aint mad yo unless stab heart love hoe
460,1,know twitter password bitch pleas
461,1,seen show seen hoe wasnt hot would thick
462,1,bitch hit hoe
463,1,marri white woman lucki sumbitch uncl ruckus
464,1,wanna nigga im trinna save account omg imma funni ass bitch man that real shit
465,1,great grandma hoeher grandma hoeher mom hoe shes hoe long line hoe grandpa carl everyon
466,1,hey go look video man found kidnap girl ohiowhat nigger shitmybosssay
467,1,hey pussi still
468,0,draft gungho folk send afghanistan war zone show
469,1,hotter bitch
470,1,u talk hoe bout bro n em talk hoe bout bro n em
471,1,crazi bitch hilari
473,1,know shoe dirti fuck whatev bitch dont call like negro one first thing look shoe dog
474,0,thrill billywith hillbilli heart billyraycyrus hahahahaha jesus murphi
475,1,call bitch makennam
476,1,cant handl liquor bitch cant handl meeedd chief sosa
477,1,dont chase dude chase bitch edgar bautista
478,1,dont love hoe babi forev
479,1,dont even need pictur tamar bitch beat everi
480,1,dont hoe
481,0,found new way chug open mouth alot shitallysay
482,1,fuck hate bitch much wanna smack face tongu kiss
483,1,got bitch set like jada picketqueen latifah ride round niec bitch titi
484,1,got sister told stop call women bitch
485,1,guess night bitch die stewi nigga
486,1,bitch bitch bitch eat halibut iamyoungroc freshrhym jerksquad slowstir
487,1,ladylov shes marri still wanna bang wont sex bitch troubadour probabl
488,1,heard look candi man bitch
489,1,hope dont get mad ladi call bitch bitch bc dont know name individu katt william letmicahdown
490,1,got number im bitch boy
491,1,know shit eatin grin either fuck girl dream sold car know your faggot whatd
492,1,older men caus theyr matur suppos fool us bitch
493,1,prolli leav bitch cup hand yo hand hand
494,1,said dont like tast like wolf pussi even know tast like
495,1,taught eat pussi cut hair taught eat pussi name movi
496,1,use dress like cop oh realli yeahright pussi realli yesil never forget
497,1,went jail flock amp came home wit strike went jail bitch came home dike yg
498,1,fuck u u stand u dizzi bitch two uniqu amp separ phrase overheard relat say younger
499,1,woke like thi bitch go back bed
500,1,would rather call bitch sir manag
501,1,ill beat pussi hard
502,0,ill slit throatneck
503,1,im funki ass honkey jtimberlak shout macklemor tonight cabaret
504,1,im compar kfc pussi
505,1,im download new person order new face bitch love goddamn axl rose yell sex robot
506,1,im feelin like malcolm middl bitch surround cant miss em
507,1,im gonna piss dimpl stop wast prayer trash team lol
508,1,im probabl main bitch chocol dip cinnamon appl
509,1,im sick shit man jonniesantana sit bitch ass im fed bro rt geno threw yet anoth pick smh
510,1,im sorri fuck yo bitch realli dig nigga kingl
511,1,ib irrit bitch syndrom
513,1,love hide yo bitch youll keep shorti wizkhalifa
514,1,talk back aint get pussi
515,1,your bad bitch put hand high everi girl room start wave hand around
516,1,imma tie bitch basement donkeyfuck ass two week straight hahahahahahahahaha beforeiselfdestruct
517,1,mind gotta dumb hoe anthem
518,0,albino mexican dad hes asian
519,1,take true direction accept larri know bitch fan like make boy cri thankyoupaulforconfirminglarri
520,1,alleg u bedroom u see word naiv amp blind bitch know ur husband cheat u ramona dumb
521,1,never late tag bitch cyfyr
522,1,dyke hunter dyke dyke
523,1,julia robert your ho nottinghil
524,0,follow yellow brick twitter
525,1,lmfaoooooooooooooooooo bbbrook pussi good mama like guess gotta mama
526,0,lol crippl wendi davi rt mailonlin scientist creat remotecontrol chick studi shi penguin
527,1,let nip ahoy spank mayb
528,1,let kill cracker babi wtf hear wow
529,1,like correct im wrong doesnt pimpin involv smackin bitch money
530,1,lmao rt pound cake look like pussi
